code_2022,code_2017,level_2022,level_2017,split,description_2022,description_2017
4004675000,4004675000,B,B,False,"Wholesale sales of nonwood roofing, siding, and insulation products, including shingles, house wraps, and vapor barriers","Wholesale sales of nonwood roofing, siding, and insulation products"
4004675003,4004675003,D,D,False,"Wholesale sales of nonwood roofing, including shingles",Wholesale sales of nonwood roofing
4004675006,4004675006,D,D,False,Wholesale sales of nonwood siding,Wholesale sales of nonwood siding
4004675009,4004675009,D,D,False,Wholesale sales of insulation materials,Wholesale sales of insulation materials
4004675012,4004675012,D,D,False,Wholesale sales of house wraps,Wholesale sales of house wraps
4004675015,4004675015,D,D,False,Wholesale sales of vapor barriers and construction papers,Wholesale sales of vapor barriers and construction papers
4004700000,4004700000,B,B,False,Wholesale sales of building and construction polystyrene and polyurethane foam products,Wholesale sales of building and construction polystyrene and polyurethane foam products
4004725000,4004725000,B,B,False,"Wholesale sales of rough, dressed, and finished dimensional lumber, plywood and panels, including wood siding and wood shingles","Wholesale sales of rough, dressed, and finished dimensional lumber, plywood and panels"
4004725003,4004725003,D,D,False,Wholesale sales of untreated lumber,Wholesale sales of untreated lumber
4004725006,4004725006,D,D,False,Wholesale sales of treated lumber,Wholesale sales of treated lumber
4004725009,4004725009,D,D,False,Wholesale sales of boards,Wholesale sales of boards
4004725012,4004725012,D,D,False,"Wholesale sales of softwood plywood, softwood veneer, and Oriented Strand Board (OSB)","Wholesale sales of softwood plywood, softwood veneer, and Oriented Strand Board (OSB)"
4004725015,4004725015,D,D,False,"Wholesale sales of other panel products, including hardwood plywood, hardwood veneer, and particleboard","Wholesale sales of other panel products, including hardwood plywood, hardwood veneer, and particleboard"
4004725018,4004725018,D,D,False,"Wholesale sales of gypsum board, green or water board, and other specialty boards","Wholesale sales of gypsum board, green or water board, and other specialty boards"
4004725021,4004725021,D,D,False,"Wholesale sales of trusses, wood siding, and wood shingles","Wholesale sales of trusses, wood siding, and wood shingles"
4004780000,4004775000,B,B,True,"Wholesale sales of millwork, including garage doors",Wholesale sales of millwork
4004780003,4004775003,D,D,True,"Wholesale sales of wood millwork, including moldings, doors, windows, and cabinets","Wholesale sales of wood millwork, including moldings, doors, windows, and cabinets"
4004780006,4004775006,D,D,False,"Wholesale sales of metal millwork, including moldings, doors, windows, and cabinets",Wholesale sales of metal millwork
4004785000,4004775003,B,D,True,"Wholesale sales of quartz, laminate, and corian countertops","Wholesale sales of wood millwork, including moldings, doors, windows, and cabinets"
